"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create exercise","LMS service","Thu Dec 11 09:56:31 UTC 2025","passed","Thu Dec 11 09:56:31 UTC 2025","Create entity","Exercises","",""
"","242","Create file","LMS service","Thu Dec 11 09:56:34 UTC 2025","passed","Thu Dec 11 09:56:34 UTC 2025","Create entity","Files","",""
"","275","Delete exercise","LMS service","Thu Dec 11 09:56:33 UTC 2025","passed","Thu Dec 11 09:56:33 UTC 2025","Delete entity","Exercises","",""
"","28","Update course","LMS service","Thu Dec 11 09:56:31 UTC 2025","passed","Thu Dec 11 09:56:31 UTC 2025","Update entity","Courses","",""
"","249","Create file with empty filename","LMS service","Thu Dec 11 09:56:36 UTC 2025","passed","Thu Dec 11 09:56:36 UTC 2025","Validate entity","Files","",""
"","26","Create course","LMS service","Thu Dec 11 09:56:30 UTC 2025","passed","Thu Dec 11 09:56:30 UTC 2025","Create entity","Courses","",""
"","13","Get exercises","LMS service","Thu Dec 11 09:56:34 UTC 2025","passed","Thu Dec 11 09:56:34 UTC 2025","Get entities","Exercises","",""
"","11","Get user me","LMS service","Thu Dec 11 09:56:38 UTC 2025","passed","Thu Dec 11 09:56:38 UTC 2025","Get entity","Users","",""
"","527","Create user","LMS service","Thu Dec 11 09:56:36 UTC 2025","passed","Thu Dec 11 09:56:37 UTC 2025","Create entity","Users","",""
"","530","Create user","LMS service","Thu Dec 11 09:56:37 UTC 2025","passed","Thu Dec 11 09:56:38 UTC 2025","Create entity","Users","",""
"","274","Update exercise","LMS service","Thu Dec 11 09:56:32 UTC 2025","passed","Thu Dec 11 09:56:32 UTC 2025","Update entity","Exercises","",""
"","249","Create file with empty directory","LMS service","Thu Dec 11 09:56:36 UTC 2025","passed","Thu Dec 11 09:56:36 UTC 2025","Validate entity","Files","",""
"","19","Get exercise","LMS service","Thu Dec 11 09:56:32 UTC 2025","passed","Thu Dec 11 09:56:32 UTC 2025","Get entity","Exercises","",""
"","18","Delete file","LMS service","Thu Dec 11 09:56:35 UTC 2025","passed","Thu Dec 11 09:56:35 UTC 2025","Delete entity","Files","",""
"","269","Login with correct email and password","LMS service","Thu Dec 11 09:56:29 UTC 2025","passed","Thu Dec 11 09:56:29 UTC 2025","Login","Authentication","",""
"","257","Get file with incorrect file id","LMS service","Thu Dec 11 09:56:37 UTC 2025","passed","Thu Dec 11 09:56:37 UTC 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Dec 11 09:56:35 UTC 2025","passed","Thu Dec 11 09:56:35 UTC 2025","Get entity","Files","",""
"","273","Create user","LMS service","Thu Dec 11 09:56:37 UTC 2025","passed","Thu Dec 11 09:56:37 UTC 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Thu Dec 11 09:56:30 UTC 2025","passed","Thu Dec 11 09:56:30 UTC 2025","Get entities","Courses","",""
