"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","557","Login with correct email and password","LMS service","Sat Dec 13 15:32:58 UTC 2025","passed","Sat Dec 13 15:32:59 UTC 2025","Login","Authentication","",""
"","16","Get exercises","LMS service","Sat Dec 13 15:33:03 UTC 2025","passed","Sat Dec 13 15:33:03 UTC 2025","Get entities","Exercises","",""
"","24","Get exercise","LMS service","Sat Dec 13 15:33:02 UTC 2025","passed","Sat Dec 13 15:33:02 UTC 2025","Get entity","Exercises","",""
"","12","Get user me","LMS service","Sat Dec 13 15:33:08 UTC 2025","passed","Sat Dec 13 15:33:08 UTC 2025","Get entity","Users","",""
"","304","Update course","LMS service","Sat Dec 13 15:33:00 UTC 2025","passed","Sat Dec 13 15:33:01 UTC 2025","Update entity","Courses","",""
"","265","Create file","LMS service","Sat Dec 13 15:33:04 UTC 2025","passed","Sat Dec 13 15:33:04 UTC 2025","Create entity","Files","",""
"","264","Create file with empty filename","LMS service","Sat Dec 13 15:33:06 UTC 2025","passed","Sat Dec 13 15:33:06 UTC 2025","Validate entity","Files","",""
"","20","Create exercise","LMS service","Sat Dec 13 15:33:01 UTC 2025","passed","Sat Dec 13 15:33:01 UTC 2025","Create entity","Exercises","",""
"","558","Create user","LMS service","Sat Dec 13 15:33:07 UTC 2025","passed","Sat Dec 13 15:33:08 UTC 2025","Create entity","Users","",""
"","290","Create user","LMS service","Sat Dec 13 15:33:07 UTC 2025","passed","Sat Dec 13 15:33:07 UTC 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Sat Dec 13 15:32:59 UTC 2025","passed","Sat Dec 13 15:32:59 UTC 2025","Get entities","Courses","",""
"","27","Create course","LMS service","Sat Dec 13 15:33:00 UTC 2025","passed","Sat Dec 13 15:33:00 UTC 2025","Create entity","Courses","",""
"","270","Create file with empty directory","LMS service","Sat Dec 13 15:33:06 UTC 2025","passed","Sat Dec 13 15:33:06 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Sat Dec 13 15:33:05 UTC 2025","passed","Sat Dec 13 15:33:05 UTC 2025","Get entity","Files","",""
"","293","Update exercise","LMS service","Sat Dec 13 15:33:02 UTC 2025","passed","Sat Dec 13 15:33:02 UTC 2025","Update entity","Exercises","",""
"","19","Delete file","LMS service","Sat Dec 13 15:33:05 UTC 2025","passed","Sat Dec 13 15:33:05 UTC 2025","Delete entity","Files","",""
"","259","Get file with incorrect file id","LMS service","Sat Dec 13 15:33:07 UTC 2025","passed","Sat Dec 13 15:33:07 UTC 2025","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Sat Dec 13 15:33:03 UTC 2025","passed","Sat Dec 13 15:33:03 UTC 2025","Delete entity","Exercises","",""
"","539","Create user","LMS service","Sat Dec 13 15:33:06 UTC 2025","passed","Sat Dec 13 15:33:07 UTC 2025","Create entity","Users","",""
