"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Login with correct email and password","LMS service","Sun Dec 14 11:05:23 UTC 2025","passed","Sun Dec 14 11:05:23 UTC 2025","Login","Authentication","",""
"","267","Get file with incorrect file id","LMS service","Sun Dec 14 11:05:31 UTC 2025","passed","Sun Dec 14 11:05:31 UTC 2025","Validate entity","Files","",""
"","261","Create file","LMS service","Sun Dec 14 11:05:28 UTC 2025","passed","Sun Dec 14 11:05:28 UTC 2025","Create entity","Files","",""
"","19","Get exercise","LMS service","Sun Dec 14 11:05:26 UTC 2025","passed","Sun Dec 14 11:05:27 UTC 2025","Get entity","Exercises","",""
"","21","Delete file","LMS service","Sun Dec 14 11:05:29 UTC 2025","passed","Sun Dec 14 11:05:29 UTC 2025","Delete entity","Files","",""
"","28","Create course","LMS service","Sun Dec 14 11:05:24 UTC 2025","passed","Sun Dec 14 11:05:24 UTC 2025","Create entity","Courses","",""
"","21","Create exercise","LMS service","Sun Dec 14 11:05:25 UTC 2025","passed","Sun Dec 14 11:05:25 UTC 2025","Create entity","Exercises","",""
"","288","Update exercise","LMS service","Sun Dec 14 11:05:26 UTC 2025","passed","Sun Dec 14 11:05:26 UTC 2025","Update entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Sun Dec 14 11:05:30 UTC 2025","passed","Sun Dec 14 11:05:30 UTC 2025","Validate entity","Files","",""
"","15","Get exercises","LMS service","Sun Dec 14 11:05:28 UTC 2025","passed","Sun Dec 14 11:05:28 UTC 2025","Get entities","Exercises","",""
"","28","Get courses","LMS service","Sun Dec 14 11:05:24 UTC 2025","passed","Sun Dec 14 11:05:24 UTC 2025","Get entities","Courses","",""
"","273","Create file with empty directory","LMS service","Sun Dec 14 11:05:30 UTC 2025","passed","Sun Dec 14 11:05:31 UTC 2025","Validate entity","Files","",""
"","550","Create user","LMS service","Sun Dec 14 11:05:31 UTC 2025","passed","Sun Dec 14 11:05:31 UTC 2025","Create entity","Users","",""
"","561","Create user","LMS service","Sun Dec 14 11:05:31 UTC 2025","passed","Sun Dec 14 11:05:32 UTC 2025","Create entity","Users","",""
"","13","Get file","LMS service","Sun Dec 14 11:05:29 UTC 2025","passed","Sun Dec 14 11:05:29 UTC 2025","Get entity","Files","",""
"","33","Update course","LMS service","Sun Dec 14 11:05:25 UTC 2025","passed","Sun Dec 14 11:05:25 UTC 2025","Update entity","Courses","",""
"","289","Delete exercise","LMS service","Sun Dec 14 11:05:27 UTC 2025","passed","Sun Dec 14 11:05:27 UTC 2025","Delete entity","Exercises","",""
"","290","Create user","LMS service","Sun Dec 14 11:05:31 UTC 2025","passed","Sun Dec 14 11:05:32 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Sun Dec 14 11:05:32 UTC 2025","passed","Sun Dec 14 11:05:32 UTC 2025","Get entity","Users","",""
