"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Get file with incorrect file id","LMS service","Sat Dec 13 15:07:26 UTC 2025","passed","Sat Dec 13 15:07:26 UTC 2025","Validate entity","Files","",""
"","299","Update course","LMS service","Sat Dec 13 15:07:20 UTC 2025","passed","Sat Dec 13 15:07:20 UTC 2025","Update entity","Courses","",""
"","265","Create file","LMS service","Sat Dec 13 15:07:23 UTC 2025","passed","Sat Dec 13 15:07:23 UTC 2025","Create entity","Files","",""
"","29","Create course","LMS service","Sat Dec 13 15:07:19 UTC 2025","passed","Sat Dec 13 15:07:19 UTC 2025","Create entity","Courses","",""
"","260","Create file with empty filename","LMS service","Sat Dec 13 15:07:25 UTC 2025","passed","Sat Dec 13 15:07:25 UTC 2025","Validate entity","Files","",""
"","289","Create user","LMS service","Sat Dec 13 15:07:26 UTC 2025","passed","Sat Dec 13 15:07:27 UTC 2025","Create entity","Users","",""
"","540","Create user","LMS service","Sat Dec 13 15:07:26 UTC 2025","passed","Sat Dec 13 15:07:26 UTC 2025","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Sat Dec 13 15:07:18 UTC 2025","passed","Sat Dec 13 15:07:18 UTC 2025","Login","Authentication","",""
"","273","Create file with empty directory","LMS service","Sat Dec 13 15:07:25 UTC 2025","passed","Sat Dec 13 15:07:26 UTC 2025","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Sat Dec 13 15:07:22 UTC 2025","passed","Sat Dec 13 15:07:22 UTC 2025","Delete entity","Exercises","",""
"","17","Get exercises","LMS service","Sat Dec 13 15:07:23 UTC 2025","passed","Sat Dec 13 15:07:23 UTC 2025","Get entities","Exercises","",""
"","33","Get courses","LMS service","Sat Dec 13 15:07:18 UTC 2025","passed","Sat Dec 13 15:07:18 UTC 2025","Get entities","Courses","",""
"","291","Update exercise","LMS service","Sat Dec 13 15:07:21 UTC 2025","passed","Sat Dec 13 15:07:21 UTC 2025","Update entity","Exercises","",""
"","12","Get file","LMS service","Sat Dec 13 15:07:24 UTC 2025","passed","Sat Dec 13 15:07:24 UTC 2025","Get entity","Files","",""
"","13","Get user me","LMS service","Sat Dec 13 15:07:27 UTC 2025","passed","Sat Dec 13 15:07:27 UTC 2025","Get entity","Users","",""
"","292","Create exercise","LMS service","Sat Dec 13 15:07:20 UTC 2025","passed","Sat Dec 13 15:07:20 UTC 2025","Create entity","Exercises","",""
"","19","Delete file","LMS service","Sat Dec 13 15:07:24 UTC 2025","passed","Sat Dec 13 15:07:24 UTC 2025","Delete entity","Files","",""
"","23","Get exercise","LMS service","Sat Dec 13 15:07:21 UTC 2025","passed","Sat Dec 13 15:07:21 UTC 2025","Get entity","Exercises","",""
"","557","Create user","LMS service","Sat Dec 13 15:07:26 UTC 2025","passed","Sat Dec 13 15:07:27 UTC 2025","Create entity","Users","",""
