"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Update exercise","LMS service","Thu Dec 11 17:28:20 UTC 2025","passed","Thu Dec 11 17:28:20 UTC 2025","Update entity","Exercises","",""
"","536","Create user","LMS service","Thu Dec 11 17:28:24 UTC 2025","passed","Thu Dec 11 17:28:25 UTC 2025","Create entity","Users","",""
"","263","Create file","LMS service","Thu Dec 11 17:28:22 UTC 2025","passed","Thu Dec 11 17:28:22 UTC 2025","Create entity","Files","",""
"","284","Login with correct email and password","LMS service","Thu Dec 11 17:28:16 UTC 2025","passed","Thu Dec 11 17:28:16 UTC 2025","Login","Authentication","",""
"","527","Create user","LMS service","Thu Dec 11 17:28:25 UTC 2025","passed","Thu Dec 11 17:28:25 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Thu Dec 11 17:28:26 UTC 2025","passed","Thu Dec 11 17:28:26 UTC 2025","Get entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Thu Dec 11 17:28:24 UTC 2025","passed","Thu Dec 11 17:28:24 UTC 2025","Validate entity","Files","",""
"","299","Get courses","LMS service","Thu Dec 11 17:28:17 UTC 2025","passed","Thu Dec 11 17:28:17 UTC 2025","Get entities","Courses","",""
"","268","Create file with empty directory","LMS service","Thu Dec 11 17:28:24 UTC 2025","passed","Thu Dec 11 17:28:24 UTC 2025","Validate entity","Files","",""
"","27","Delete exercise","LMS service","Thu Dec 11 17:28:21 UTC 2025","passed","Thu Dec 11 17:28:21 UTC 2025","Delete entity","Exercises","",""
"","17","Get exercise","LMS service","Thu Dec 11 17:28:20 UTC 2025","passed","Thu Dec 11 17:28:20 UTC 2025","Get entity","Exercises","",""
"","286","Create user","LMS service","Thu Dec 11 17:28:24 UTC 2025","passed","Thu Dec 11 17:28:25 UTC 2025","Create entity","Users","",""
"","27","Create course","LMS service","Thu Dec 11 17:28:17 UTC 2025","passed","Thu Dec 11 17:28:17 UTC 2025","Create entity","Courses","",""
"","21","Create exercise","LMS service","Thu Dec 11 17:28:19 UTC 2025","passed","Thu Dec 11 17:28:19 UTC 2025","Create entity","Exercises","",""
"","34","Update course","LMS service","Thu Dec 11 17:28:18 UTC 2025","passed","Thu Dec 11 17:28:19 UTC 2025","Update entity","Courses","",""
"","18","Delete file","LMS service","Thu Dec 11 17:28:23 UTC 2025","passed","Thu Dec 11 17:28:23 UTC 2025","Delete entity","Files","",""
"","16","Get file","LMS service","Thu Dec 11 17:28:22 UTC 2025","passed","Thu Dec 11 17:28:22 UTC 2025","Get entity","Files","",""
"","14","Create file with empty filename","LMS service","Thu Dec 11 17:28:23 UTC 2025","passed","Thu Dec 11 17:28:23 UTC 2025","Validate entity","Files","",""
"","18","Get exercises","LMS service","Thu Dec 11 17:28:21 UTC 2025","passed","Thu Dec 11 17:28:21 UTC 2025","Get entities","Exercises","",""
