"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Delete exercise","LMS service","Sun Dec 14 10:50:55 UTC 2025","passed","Sun Dec 14 10:50:55 UTC 2025","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Sun Dec 14 10:51:00 UTC 2025","passed","Sun Dec 14 10:51:00 UTC 2025","Get entity","Users","",""
"","28","Update course","LMS service","Sun Dec 14 10:50:52 UTC 2025","passed","Sun Dec 14 10:50:52 UTC 2025","Update entity","Courses","",""
"","18","Get exercise","LMS service","Sun Dec 14 10:50:54 UTC 2025","passed","Sun Dec 14 10:50:54 UTC 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Sun Dec 14 10:50:57 UTC 2025","passed","Sun Dec 14 10:50:57 UTC 2025","Delete entity","Files","",""
"","20","Create exercise","LMS service","Sun Dec 14 10:50:53 UTC 2025","passed","Sun Dec 14 10:50:53 UTC 2025","Create entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Sun Dec 14 10:50:57 UTC 2025","passed","Sun Dec 14 10:50:58 UTC 2025","Validate entity","Files","",""
"","289","Create user","LMS service","Sun Dec 14 10:50:59 UTC 2025","passed","Sun Dec 14 10:50:59 UTC 2025","Create entity","Users","",""
"","273","Create file with empty directory","LMS service","Sun Dec 14 10:50:58 UTC 2025","passed","Sun Dec 14 10:50:58 UTC 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Sun Dec 14 10:50:55 UTC 2025","passed","Sun Dec 14 10:50:55 UTC 2025","Get entities","Exercises","",""
"","259","Create file","LMS service","Sun Dec 14 10:50:56 UTC 2025","passed","Sun Dec 14 10:50:56 UTC 2025","Create entity","Files","",""
"","562","Create user","LMS service","Sun Dec 14 10:50:59 UTC 2025","passed","Sun Dec 14 10:50:59 UTC 2025","Create entity","Users","",""
"","284","Login with correct email and password","LMS service","Sun Dec 14 10:50:50 UTC 2025","passed","Sun Dec 14 10:50:51 UTC 2025","Login","Authentication","",""
"","551","Create user","LMS service","Sun Dec 14 10:50:58 UTC 2025","passed","Sun Dec 14 10:50:59 UTC 2025","Create entity","Users","",""
"","12","Get file","LMS service","Sun Dec 14 10:50:57 UTC 2025","passed","Sun Dec 14 10:50:57 UTC 2025","Get entity","Files","",""
"","287","Update exercise","LMS service","Sun Dec 14 10:50:54 UTC 2025","passed","Sun Dec 14 10:50:54 UTC 2025","Update entity","Exercises","",""
"","27","Create course","LMS service","Sun Dec 14 10:50:52 UTC 2025","passed","Sun Dec 14 10:50:52 UTC 2025","Create entity","Courses","",""
"","29","Get courses","LMS service","Sun Dec 14 10:50:51 UTC 2025","passed","Sun Dec 14 10:50:51 UTC 2025","Get entities","Courses","",""
"","266","Get file with incorrect file id","LMS service","Sun Dec 14 10:50:59 UTC 2025","passed","Sun Dec 14 10:50:59 UTC 2025","Validate entity","Files","",""
