"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Create course","LMS service","Sun Dec 14 11:35:46 UTC 2025","passed","Sun Dec 14 11:35:46 UTC 2025","Create entity","Courses","",""
"","19","Delete file","LMS service","Sun Dec 14 11:35:50 UTC 2025","passed","Sun Dec 14 11:35:51 UTC 2025","Delete entity","Files","",""
"","32","Get courses","LMS service","Sun Dec 14 11:35:45 UTC 2025","passed","Sun Dec 14 11:35:45 UTC 2025","Get entities","Courses","",""
"","28","Create exercise","LMS service","Sun Dec 14 11:35:47 UTC 2025","passed","Sun Dec 14 11:35:47 UTC 2025","Create entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sun Dec 14 11:35:53 UTC 2025","passed","Sun Dec 14 11:35:53 UTC 2025","Validate entity","Files","",""
"","32","Update course","LMS service","Sun Dec 14 11:35:46 UTC 2025","passed","Sun Dec 14 11:35:46 UTC 2025","Update entity","Courses","",""
"","552","Login with correct email and password","LMS service","Sun Dec 14 11:35:44 UTC 2025","passed","Sun Dec 14 11:35:45 UTC 2025","Login","Authentication","",""
"","12","Get file","LMS service","Sun Dec 14 11:35:51 UTC 2025","passed","Sun Dec 14 11:35:51 UTC 2025","Get entity","Files","",""
"","518","Create user","LMS service","Sun Dec 14 11:35:52 UTC 2025","passed","Sun Dec 14 11:35:53 UTC 2025","Create entity","Users","",""
"","556","Create user","LMS service","Sun Dec 14 11:35:52 UTC 2025","passed","Sun Dec 14 11:35:52 UTC 2025","Create entity","Users","",""
"","20","Create file","LMS service","Sun Dec 14 11:35:49 UTC 2025","passed","Sun Dec 14 11:35:49 UTC 2025","Create entity","Files","",""
"","19","Delete exercise","LMS service","Sun Dec 14 11:35:48 UTC 2025","passed","Sun Dec 14 11:35:48 UTC 2025","Delete entity","Exercises","",""
"","561","Create user","LMS service","Sun Dec 14 11:35:53 UTC 2025","passed","Sun Dec 14 11:35:53 UTC 2025","Create entity","Users","",""
"","17","Get exercises","LMS service","Sun Dec 14 11:35:49 UTC 2025","passed","Sun Dec 14 11:35:49 UTC 2025","Get entities","Exercises","",""
"","288","Create file with empty filename","LMS service","Sun Dec 14 11:35:51 UTC 2025","passed","Sun Dec 14 11:35:52 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Sun Dec 14 11:35:54 UTC 2025","passed","Sun Dec 14 11:35:54 UTC 2025","Get entity","Users","",""
"","25","Get exercise","LMS service","Sun Dec 14 11:35:48 UTC 2025","passed","Sun Dec 14 11:35:48 UTC 2025","Get entity","Exercises","",""
"","33","Update exercise","LMS service","Sun Dec 14 11:35:47 UTC 2025","passed","Sun Dec 14 11:35:47 UTC 2025","Update entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Sun Dec 14 11:35:52 UTC 2025","passed","Sun Dec 14 11:35:52 UTC 2025","Validate entity","Files","",""
