"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","530","Create user","LMS service","Sat Dec 13 15:29:36 UTC 2025","passed","Sat Dec 13 15:29:37 UTC 2025","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Sat Dec 13 15:29:36 UTC 2025","passed","Sat Dec 13 15:29:36 UTC 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Sat Dec 13 15:29:30 UTC 2025","passed","Sat Dec 13 15:29:30 UTC 2025","Create entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Sat Dec 13 15:29:28 UTC 2025","passed","Sat Dec 13 15:29:28 UTC 2025","Login","Authentication","",""
"","527","Create user","LMS service","Sat Dec 13 15:29:37 UTC 2025","passed","Sat Dec 13 15:29:37 UTC 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Sat Dec 13 15:29:33 UTC 2025","passed","Sat Dec 13 15:29:33 UTC 2025","Get entities","Exercises","",""
"","28","Get exercise","LMS service","Sat Dec 13 15:29:32 UTC 2025","passed","Sat Dec 13 15:29:32 UTC 2025","Get entity","Exercises","",""
"","13","Get user me","LMS service","Sat Dec 13 15:29:38 UTC 2025","passed","Sat Dec 13 15:29:38 UTC 2025","Get entity","Users","",""
"","287","Create user","LMS service","Sat Dec 13 15:29:36 UTC 2025","passed","Sat Dec 13 15:29:37 UTC 2025","Create entity","Users","",""
"","33","Update course","LMS service","Sat Dec 13 15:29:30 UTC 2025","passed","Sat Dec 13 15:29:30 UTC 2025","Update entity","Courses","",""
"","258","Create file","LMS service","Sat Dec 13 15:29:34 UTC 2025","passed","Sat Dec 13 15:29:34 UTC 2025","Create entity","Files","",""
"","300","Get courses","LMS service","Sat Dec 13 15:29:29 UTC 2025","passed","Sat Dec 13 15:29:29 UTC 2025","Get entities","Courses","",""
"","23","Update exercise","LMS service","Sat Dec 13 15:29:32 UTC 2025","passed","Sat Dec 13 15:29:32 UTC 2025","Update entity","Exercises","",""
"","31","Delete exercise","LMS service","Sat Dec 13 15:29:33 UTC 2025","passed","Sat Dec 13 15:29:33 UTC 2025","Delete entity","Exercises","",""
"","21","Delete file","LMS service","Sat Dec 13 15:29:35 UTC 2025","passed","Sat Dec 13 15:29:35 UTC 2025","Delete entity","Files","",""
"","16","Create file with empty filename","LMS service","Sat Dec 13 15:29:35 UTC 2025","passed","Sat Dec 13 15:29:35 UTC 2025","Validate entity","Files","",""
"","261","Create file with empty directory","LMS service","Sat Dec 13 15:29:36 UTC 2025","passed","Sat Dec 13 15:29:36 UTC 2025","Validate entity","Files","",""
"","16","Get file","LMS service","Sat Dec 13 15:29:34 UTC 2025","passed","Sat Dec 13 15:29:34 UTC 2025","Get entity","Files","",""
"","33","Create course","LMS service","Sat Dec 13 15:29:29 UTC 2025","passed","Sat Dec 13 15:29:29 UTC 2025","Create entity","Courses","",""
