"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Update course","LMS service","Thu Dec 11 10:18:04 UTC 2025","passed","Thu Dec 11 10:18:04 UTC 2025","Update entity","Courses","",""
"","290","Create user","LMS service","Thu Dec 11 10:18:11 UTC 2025","passed","Thu Dec 11 10:18:11 UTC 2025","Create entity","Users","",""
"","562","Create user","LMS service","Thu Dec 11 10:18:11 UTC 2025","passed","Thu Dec 11 10:18:11 UTC 2025","Create entity","Users","",""
"","287","Update exercise","LMS service","Thu Dec 11 10:18:05 UTC 2025","passed","Thu Dec 11 10:18:06 UTC 2025","Update entity","Exercises","",""
"","21","Create exercise","LMS service","Thu Dec 11 10:18:05 UTC 2025","passed","Thu Dec 11 10:18:05 UTC 2025","Create entity","Exercises","",""
"","304","Get courses","LMS service","Thu Dec 11 10:18:03 UTC 2025","passed","Thu Dec 11 10:18:03 UTC 2025","Get entities","Courses","",""
"","275","Create file with empty directory","LMS service","Thu Dec 11 10:18:10 UTC 2025","passed","Thu Dec 11 10:18:10 UTC 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Thu Dec 11 10:18:09 UTC 2025","passed","Thu Dec 11 10:18:09 UTC 2025","Delete entity","Files","",""
"","20","Get exercise","LMS service","Thu Dec 11 10:18:06 UTC 2025","passed","Thu Dec 11 10:18:06 UTC 2025","Get entity","Exercises","",""
"","299","Create course","LMS service","Thu Dec 11 10:18:03 UTC 2025","passed","Thu Dec 11 10:18:04 UTC 2025","Create entity","Courses","",""
"","265","Create file","LMS service","Thu Dec 11 10:18:08 UTC 2025","passed","Thu Dec 11 10:18:08 UTC 2025","Create entity","Files","",""
"","285","Login with correct email and password","LMS service","Thu Dec 11 10:18:02 UTC 2025","passed","Thu Dec 11 10:18:02 UTC 2025","Login","Authentication","",""
"","260","Create file with empty filename","LMS service","Thu Dec 11 10:18:09 UTC 2025","passed","Thu Dec 11 10:18:10 UTC 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Thu Dec 11 10:18:12 UTC 2025","passed","Thu Dec 11 10:18:12 UTC 2025","Get entity","Users","",""
"","267","Get file with incorrect file id","LMS service","Thu Dec 11 10:18:11 UTC 2025","passed","Thu Dec 11 10:18:11 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Thu Dec 11 10:18:08 UTC 2025","passed","Thu Dec 11 10:18:08 UTC 2025","Get entity","Files","",""
"","17","Get exercises","LMS service","Thu Dec 11 10:18:07 UTC 2025","passed","Thu Dec 11 10:18:07 UTC 2025","Get entities","Exercises","",""
"","289","Delete exercise","LMS service","Thu Dec 11 10:18:07 UTC 2025","passed","Thu Dec 11 10:18:07 UTC 2025","Delete entity","Exercises","",""
"","553","Create user","LMS service","Thu Dec 11 10:18:10 UTC 2025","passed","Thu Dec 11 10:18:11 UTC 2025","Create entity","Users","",""
